task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P003864_P003865_2645,relocate,P003865,C1,202884.0,202950.0
R_L1_P003864_P003866_2646,relocate,P003866,C1,202950.0,203016.0
R_L1_P003864_P003867_2647,relocate,P003867,C1,203016.0,203082.0
R_L1_P003864_P003868_2648,relocate,P003868,C1,203082.0,203148.0
R_L1_P003864_P003869_2649,relocate,P003869,C1,203148.0,203214.0
R_L1_P003864_P003870_2650,relocate,P003870,C1,203214.0,203280.0
R_L1_P003864_P003871_2651,relocate,P003871,C1,203280.0,203346.0
R_L1_P003864_P003872_2652,relocate,P003872,C1,203346.0,203412.0
OUT_L1_P003864_431,outbound,P003864,C1,203412.0,203478.0
OUT_L1_P000608_432,outbound,P000608,C1,203478.0,203544.0
OUT_L1_P000640_433,outbound,P000640,C1,203544.0,203610.0
R_L1_P005290_P005291_2653,relocate,P005291,C1,203610.0,203676.0
R_L1_P005290_P005292_2654,relocate,P005292,C1,203676.0,203742.0
R_L1_P005290_P005293_2655,relocate,P005293,C1,203742.0,203808.0
R_L1_P005290_P005294_2656,relocate,P005294,C1,203808.0,203874.0
R_L1_P005290_P005295_2657,relocate,P005295,C1,203874.0,203940.0
R_L1_P005290_P005296_2658,relocate,P005296,C1,203940.0,204006.0
OUT_L1_P005290_434,outbound,P005290,C1,204006.0,204072.0
R_L1_P000862_P000863_2659,relocate,P000863,C1,204072.0,204138.0
R_L1_P000862_P000864_2660,relocate,P000864,C1,204138.0,204204.0
OUT_L1_P000862_435,outbound,P000862,C1,204204.0,204270.0
R_L1_P004759_P004760_2661,relocate,P004760,C1,204270.0,204336.0
OUT_L1_P004759_436,outbound,P004759,C1,204336.0,204402.0
OUT_L1_P004528_437,outbound,P004528,C1,204402.0,204468.0
OUT_L1_P005690_438,outbound,P005690,C1,204468.0,204534.0
R_L1_P006017_P006018_2662,relocate,P006018,C1,204534.0,204600.0
R_L1_P006017_P006019_2663,relocate,P006019,C1,204600.0,204666.0
R_L1_P006017_P006020_2664,relocate,P006020,C1,204666.0,204732.0
R_L1_P006017_P006021_2665,relocate,P006021,C1,204732.0,204798.0
R_L1_P006017_P006022_2666,relocate,P006022,C1,204798.0,204864.0
R_L1_P006017_P006023_2667,relocate,P006023,C1,204864.0,204930.0
R_L1_P006017_P006024_2668,relocate,P006024,C1,204930.0,204996.0
R_L1_P006017_P006025_2669,relocate,P006025,C1,204996.0,205062.0
R_L1_P006017_P006026_2670,relocate,P006026,C1,205062.0,205128.0
R_L1_P006017_P006027_2671,relocate,P006027,C1,205128.0,205194.0
R_L1_P006017_P006028_2672,relocate,P006028,C1,205194.0,205260.0
R_L1_P006017_P006029_2673,relocate,P006029,C1,205260.0,205326.0
R_L1_P006017_P006030_2674,relocate,P006030,C1,205326.0,205392.0
R_L1_P006017_P006031_2675,relocate,P006031,C1,205392.0,205458.0
R_L1_P006017_P006032_2676,relocate,P006032,C1,205458.0,205524.0
OUT_L1_P006017_439,outbound,P006017,C1,205524.0,205590.0
R_L1_P002891_P002892_2677,relocate,P002892,C1,205590.0,205656.0
R_L1_P002891_P002893_2678,relocate,P002893,C1,205656.0,205722.0
OUT_L1_P002891_440,outbound,P002891,C1,205722.0,205788.0
R_L1_P000111_P000112_2679,relocate,P000112,C1,205788.0,205854.0
OUT_L1_P000111_441,outbound,P000111,C1,205854.0,205920.0
